link,season,episode,title
https://transcripts.foreverdreaming.org/viewtopic.php?t=20995,05,18,"Eat, Spray, Linda"
https://transcripts.foreverdreaming.org/viewtopic.php?t=20994,05,17,The Itty Bitty Ditty Committee
https://transcripts.foreverdreaming.org/viewtopic.php?t=20993,05,16,The Runaway Club
https://transcripts.foreverdreaming.org/viewtopic.php?t=20992,05,15,Adventures In Chinchilla-sitting
https://transcripts.foreverdreaming.org/viewtopic.php?t=20991,05,14,L'il Hard Dad
https://transcripts.foreverdreaming.org/viewtopic.php?t=20990,05,13,The Gayle Tales
https://transcripts.foreverdreaming.org/viewtopic.php?t=20989,05,12,The Millie-churian Candidate
https://transcripts.foreverdreaming.org/viewtopic.php?t=20988,05,11,Can't Buy Me Math
https://transcripts.foreverdreaming.org/viewtopic.php?t=20987,05,10,Late Afternoon in the Garden of Bob and Louise
https://transcripts.foreverdreaming.org/viewtopic.php?t=20986,05,09,Speakeasy Rider
https://transcripts.foreverdreaming.org/viewtopic.php?t=20985,05,08,Midday Run
https://transcripts.foreverdreaming.org/viewtopic.php?t=20984,05,07,Tina Tailor Soldier Spy
https://transcripts.foreverdreaming.org/viewtopic.php?t=20983,05,06,Father of the Bob
https://transcripts.foreverdreaming.org/viewtopic.php?t=20982,05,05,Best Burger
https://transcripts.foreverdreaming.org/viewtopic.php?t=20981,05,04,Dawn of the Peck
https://transcripts.foreverdreaming.org/viewtopic.php?t=20980,05,03,Friends with Burger-fits
https://transcripts.foreverdreaming.org/viewtopic.php?t=20979,05,02,Tina and the Real Ghost
https://transcripts.foreverdreaming.org/viewtopic.php?t=20978,05,01,"Work Hard or Die Trying, Girl"
https://transcripts.foreverdreaming.org/viewtopic.php?t=20977,04,22,World Wharf II: The Wharfening (or How Bob Saves/Destroys the Town -- Part II)
https://transcripts.foreverdreaming.org/viewtopic.php?t=20976,04,21,Wharf Horse
https://transcripts.foreverdreaming.org/viewtopic.php?t=20975,04,20,Gene It On
https://transcripts.foreverdreaming.org/viewtopic.php?t=20974,04,19,The Kids Run Away
https://transcripts.foreverdreaming.org/viewtopic.php?t=20973,04,18,Ambergris
https://transcripts.foreverdreaming.org/viewtopic.php?t=20972,04,17,The Equestranauts
https://transcripts.foreverdreaming.org/viewtopic.php?t=20971,04,16,I Get Psy-chic Out of You
https://transcripts.foreverdreaming.org/viewtopic.php?t=20970,04,15,The Kids Rob a Train
https://transcripts.foreverdreaming.org/viewtopic.php?t=20969,04,14,Uncle Teddy
https://transcripts.foreverdreaming.org/viewtopic.php?t=20968,04,13,Mazel Tina
https://transcripts.foreverdreaming.org/viewtopic.php?t=20967,04,12,The Frond Files
https://transcripts.foreverdreaming.org/viewtopic.php?t=20966,04,11,"Easy Com-mercial, Easy Go-mercial"
https://transcripts.foreverdreaming.org/viewtopic.php?t=20965,04,10,Presto Tina-o
https://transcripts.foreverdreaming.org/viewtopic.php?t=20964,04,09,Slumber Party
https://transcripts.foreverdreaming.org/viewtopic.php?t=20963,04,08,Christmas in a Car
https://transcripts.foreverdreaming.org/viewtopic.php?t=20962,04,07,Bob and Deliver
https://transcripts.foreverdreaming.org/viewtopic.php?t=20961,04,06,Purple Rain-Union
https://transcripts.foreverdreaming.org/viewtopic.php?t=20960,04,05,Turkey in a Can
https://transcripts.foreverdreaming.org/viewtopic.php?t=20959,04,04,My Big Fat Greek Bob
https://transcripts.foreverdreaming.org/viewtopic.php?t=20958,04,03,Seaplane!
https://transcripts.foreverdreaming.org/viewtopic.php?t=20957,04,02,Fort Night
https://transcripts.foreverdreaming.org/viewtopic.php?t=20956,04,01,A River Runs Through Bob
https://transcripts.foreverdreaming.org/viewtopic.php?t=20955,03,23,The Unnatural
https://transcripts.foreverdreaming.org/viewtopic.php?t=20954,03,22,Carpe Museum
https://transcripts.foreverdreaming.org/viewtopic.php?t=20953,03,21,Boyz 4 Now
https://transcripts.foreverdreaming.org/viewtopic.php?t=20952,03,20,The Kids Run the Restaurant
https://transcripts.foreverdreaming.org/viewtopic.php?t=20951,03,19,Family Fracas
https://transcripts.foreverdreaming.org/viewtopic.php?t=20950,03,18,It Snakes a Village
https://transcripts.foreverdreaming.org/viewtopic.php?t=20949,03,17,Two For Tina
https://transcripts.foreverdreaming.org/viewtopic.php?t=20948,03,16,Topsy
https://transcripts.foreverdreaming.org/viewtopic.php?t=20947,03,15,O.T. The Outside Toilet
https://transcripts.foreverdreaming.org/viewtopic.php?t=20946,03,14,Lindapendent Woman
https://transcripts.foreverdreaming.org/viewtopic.php?t=20945,03,13,My Fuzzy Valentine
https://transcripts.foreverdreaming.org/viewtopic.php?t=20944,03,12,Broadcast Wagstaff School News
https://transcripts.foreverdreaming.org/viewtopic.php?t=20943,03,11,Nude Beach
https://transcripts.foreverdreaming.org/viewtopic.php?t=20942,03,10,Mother Daughter Laser Razor
https://transcripts.foreverdreaming.org/viewtopic.php?t=20941,03,09,God Rest Ye Merry Gentle-Mannequins
https://transcripts.foreverdreaming.org/viewtopic.php?t=20940,03,08,The Unbearable Like-Likeness of Gene
https://transcripts.foreverdreaming.org/viewtopic.php?t=20939,03,07,Tina-Rannosaurus Wrecks
https://transcripts.foreverdreaming.org/viewtopic.php?t=20938,03,06,The Deepening
https://transcripts.foreverdreaming.org/viewtopic.php?t=20937,03,05,An Indecent Thanksgiving Proposal
https://transcripts.foreverdreaming.org/viewtopic.php?t=20936,03,04,Mutiny on the Windbreaker
https://transcripts.foreverdreaming.org/viewtopic.php?t=20935,03,03,Bob Fires the Kids
https://transcripts.foreverdreaming.org/viewtopic.php?t=20934,03,02,Full Bars
https://transcripts.foreverdreaming.org/viewtopic.php?t=20933,03,01,Ear-sy Rider
https://transcripts.foreverdreaming.org/viewtopic.php?t=20932,02,09,Beefsquatch
https://transcripts.foreverdreaming.org/viewtopic.php?t=20931,02,08,Bad Tina
https://transcripts.foreverdreaming.org/viewtopic.php?t=20930,02,07,Moody Foodie
https://transcripts.foreverdreaming.org/viewtopic.php?t=20929,02,06,Dr. Yap
https://transcripts.foreverdreaming.org/viewtopic.php?t=20928,02,05,Food Truckin’
https://transcripts.foreverdreaming.org/viewtopic.php?t=20927,02,04,Burgerboss
https://transcripts.foreverdreaming.org/viewtopic.php?t=20926,02,03,Synchronized Swimming
https://transcripts.foreverdreaming.org/viewtopic.php?t=20925,02,02,Bob Day Afternoon
https://transcripts.foreverdreaming.org/viewtopic.php?t=20924,02,01,The Belchies
https://transcripts.foreverdreaming.org/viewtopic.php?t=20923,01,13,Torpedo
https://transcripts.foreverdreaming.org/viewtopic.php?t=20922,01,12,Lobsterfest
https://transcripts.foreverdreaming.org/viewtopic.php?t=20921,01,11,Weekend at Mort’s
https://transcripts.foreverdreaming.org/viewtopic.php?t=20920,01,10,Burger Wars
https://transcripts.foreverdreaming.org/viewtopic.php?t=20919,01,09,Spaghetti Western and Meatballs
https://transcripts.foreverdreaming.org/viewtopic.php?t=20918,01,08,Art Crawl
https://transcripts.foreverdreaming.org/viewtopic.php?t=20917,01,07,Bed & Breakfast
https://transcripts.foreverdreaming.org/viewtopic.php?t=20916,01,06,"Sheesh! Cab, Bob?"
https://transcripts.foreverdreaming.org/viewtopic.php?t=20915,01,05,Hamburger Dinner Theater
https://transcripts.foreverdreaming.org/viewtopic.php?t=20914,01,04,Sexy Dance Fighting
https://transcripts.foreverdreaming.org/viewtopic.php?t=20913,01,03,Sacred Cow
https://transcripts.foreverdreaming.org/viewtopic.php?t=20912,01,02,Crawl Space
https://transcripts.foreverdreaming.org/viewtopic.php?t=20911,01,01,Human Flesh
